datetimeCST,AphA,Hz,PF,PhVphA,VA,Var,W,DCV,DCA,DCW,Hz_mod,mod_BIN
2024-02-23 17:09:00-06:00,0.5333877551020408,59.982306122448975,1.0,238.55679591836733,97.68026530612244,0.0,98.1904693877551,333.6724489795919,0.4059183673469388,135.43973469387757,59.982306122448975,0.0
2024-02-23 17:10:00-06:00,0.5095000000000001,59.9705,1.0,238.695,89.62334000000001,0.0,89.62334000000001,328.259,0.3814,125.1921,59.9705,0.0
2024-02-23 17:11:00-06:00,0.46961224489795916,59.97704081632653,1.0,238.71428571428572,73.0204081632653,0.0,73.0204081632653,324.4969387755102,0.3283673469387755,106.54310204081632,59.97704081632653,0.0
2024-02-23 17:12:00-06:00,0.4340816326530612,59.968163265306124,1.0,238.56904081632652,57.8095306122449,0.0,57.8095306122449,319.6275510204082,0.28061224489795916,89.67069387755103,59.968163265306124,0.0
2024-02-23 17:13:00-06:00,0.41003999999999996,59.99214,1.0,238.75868,47.779979999999995,0.0,47.779979999999995,316.247,0.24739999999999998,78.22453999999999,59.99214,0.0
2024-02-23 17:14:00-06:00,0.40665306122448974,60.006020408163266,1.0,238.5238163265306,43.71767346938776,0.0,43.71767346938776,316.7214285714286,0.23326530612244897,73.87202040816327,60.006020408163266,0.0
2024-02-23 17:15:00-06:00,0.4022857142857143,59.97371428571429,1.0,238.46597959183674,39.224489795918366,0.0,39.224489795918366,312.6857142857143,0.21061224489795918,65.86704081632654,59.97371428571429,0.0
2024-02-23 17:16:00-06:00,0.3899183673469388,59.98314285714286,1.0,238.47685714285714,28.68026530612245,0.0,28.68026530612245,306.49387755102043,0.18040816326530612,55.22191836734694,59.98314285714286,0.0
2024-02-23 17:17:00-06:00,0.38800000000000007,59.9818,1.0,238.44765999999998,21.03666,0.0,21.03666,297.653,0.1506,44.79382,59.9818,0.0
2024-02-23 17:18:00-06:00,0.38997959183673475,59.97612244897959,1.0,238.31836734693877,12.27891836734694,0.0,12.27891836734694,278.4642857142857,0.12244897959183673,34.0889387755102,59.97612244897959,0.0
2024-02-23 17:19:00-06:00,0.38987755102040816,59.99106122448979,1.0,238.3037551020408,3.0340204081632653,0.0,3.0340204081632653,278.7142857142857,0.08816326530612245,24.445857142857143,59.99106122448979,0.0
2024-02-23 17:20:00-06:00,0.38416000000000006,59.974079999999994,1.0,238.20602,0.45332,0.0,0.45332,260.548,0.0518,13.39482,59.974079999999994,0.0
2024-02-23 17:21:00-06:00,0.007142857142857143,59.97816326530612,1.0,4.857142857142857,0.0,0.0,0.0,332.87551020408165,106.9965306122449,35060.05004081632,59.97816326530612,0.0
2024-02-23 17:22:00-06:00,0.0,60.001673469387754,1.0,0.0,0.0,0.0,0.0,337.8979591836735,133.74489795918367,43824.8593877551,60.001673469387754,0.0
2024-02-23 17:23:00-06:00,0.0,60.00387755102041,1.0,0.0,0.0,0.0,0.0,340.2704081632653,133.74489795918367,43824.8593877551,60.00387755102041,0.0
2024-02-23 17:24:00-06:00,0.0,59.9896,1.0,0.0,0.0,0.0,0.0,340.06199999999995,262.14,85896.72439999999,59.9896,0.0
2024-02-23 17:25:00-06:00,0.0,59.974488888888885,1.0,0.0,0.0,0.0,0.0,337.9233333333333,116.50666666666667,38176.321955555555,59.974488888888885,0.0
2024-02-23 17:26:00-06:00,0.0,59.98320408163266,1.0,0.0,0.0,0.0,0.0,326.89285714285717,0.0,0.0,59.98320408163266,0.0
2024-02-23 17:27:00-06:00,0.16373469387755102,59.98659183673469,1.0,101.95714285714287,0.3163265306122449,0.0,0.3163265306122449,283.8112244897959,0.030204081632653063,8.10234693877551,59.98659183673469,0.0
2024-02-23 17:28:00-06:00,0.39365306122448984,59.99495918367347,1.0,237.92310204081633,1.0000204081632653,0.0,1.0000204081632653,302.68979591836734,0.05204081632653062,15.472571428571428,59.99495918367347,0.0
2024-02-23 17:29:00-06:00,0.38776000000000005,60.00346,1.0,237.99633999999998,0.63334,0.0,0.63334,313.80400000000003,0.045,14.11738,60.00346,0.0
2024-02-23 17:30:00-06:00,0.3880816326530613,59.999591836734695,1.0,237.9,0.3401224489795918,0.0,0.3401224489795918,294.3642857142857,0.04959183673469388,14.331244897959184,59.999591836734695,0.0
2024-02-23 17:31:00-06:00,0.39418367346938776,59.9925306122449,1.0,237.90032653061223,1.2040816326530612,0.0,1.2040816326530612,307.9714285714286,0.043265306122448985,13.332142857142857,59.9925306122449,0.0
2024-02-23 17:32:00-06:00,0.23716,59.9884,1.0,152.23834,0.04,0.0,0.04,298.27299999999997,0.0342,9.14316,59.9884,0.0
